Tech_resid,tech_losses
8.300994876653627e-05,-8.300994876653627e-05
0.000137721153764001,-0.000137721153764001
6.60737202572955e-05,-6.60737202572955e-05
-3.059275521171392e-05,3.059275521171392e-05
0.0002482422901164745,-0.0002482422901164745
8.064611833005284e-05,-8.064611833005284e-05
-4.07144023236755e-06,4.07144023236755e-06
0.00020912579586573627,-0.00020912579586573627
-0.00044051882074103306,0.00044051882074103306
-0.0002470962035983443,0.0002470962035983443
2.2397928708257144e-05,-2.2397928708257144e-05
0.00037193740929074694,-0.00037193740929074694
-0.0004884295696954339,0.0004884295696954339
-0.0002848641321366852,0.0002848641321366852
3.9571111057055985e-07,-3.9571111057055985e-07
-8.741788419073724e-06,8.741788419073724e-06
-0.00017780227826687554,0.00017780227826687554
-2.815642874927734e-05,2.815642874927734e-05
0.00013754085682589974,-0.00013754085682589974
5.0670564992835334e-05,-5.0670564992835334e-05
-5.879178033599177e-05,5.879178033599177e-05
0.0001652227955840847,-0.0001652227955840847
-0.0001390907877885059,0.0001390907877885059
0.00019207086327572865,-0.00019207086327572865
-0.00025664549775584924,0.00025664549775584924
0.0002727761701124358,-0.0002727761701124358
-0.0003262264234622752,0.0003262264234622752
-0.0002185197009012374,0.0002185197009012374
-0.00012999536127560843,0.00012999536127560843
-6.724120169059191e-05,6.724120169059191e-05
-0.0001648288879130102,0.0001648288879130102
-0.00014076517092892978,0.00014076517092892978
5.183922037056026e-05,-5.183922037056026e-05
0.0001692292492992626,-0.0001692292492992626
-0.00010860507877593633,0.00010860507877593633
0.00023387020888030976,-0.00023387020888030976
-6.097916336941944e-05,6.097916336941944e-05
-0.00024318638597076072,0.00024318638597076072
0.00014397333238509664,-0.00014397333238509664
-0.00016337216491955117,0.00016337216491955117
0.00030410137622060505,-0.00030410137622060505
0.0003307953108926268,-0.0003307953108926268
-0.000295948224036328,0.000295948224036328
-0.00025139947516284974,0.00025139947516284974
-2.7488780736213464e-05,2.7488780736213464e-05
-0.0003822709542275789,0.0003822709542275789
-1.7568384724791933e-06,1.7568384724791933e-06
0.0001120720356233985,-0.0001120720356233985
0.00021786984838188618,-0.00021786984838188618
-2.7410196963895697e-05,2.7410196963895697e-05
0.00027084899671407295,-0.00027084899671407295
7.188789574885006e-05,-7.188789574885006e-05
4.1365858865795725e-05,-4.1365858865795725e-05
-4.1699331733255654e-05,4.1699331733255654e-05
-5.651561076337497e-05,5.651561076337497e-05
-0.0001523831151642619,0.0001523831151642619
5.1446787350937434e-05,-5.1446787350937434e-05
0.0001749619893804666,-0.0001749619893804666
0.00034186368422757627,-0.00034186368422757627
-8.247360555144075e-05,8.247360555144075e-05
-0.00027622249799387857,0.00027622249799387857
7.728308611219486e-05,-7.728308611219486e-05
-0.00017585535712689768,0.00017585535712689768
-4.064496963397145e-06,4.064496963397145e-06
-0.0003000713976986068,0.0003000713976986068
-0.00013749967257458884,0.00013749967257458884
-7.147542238252548e-05,7.147542238252548e-05
9.719267371730087e-05,-9.719267371730087e-05
-0.00014053297484395265,0.00014053297484395265
0.00018205562094320246,-0.00018205562094320246
7.720497112583233e-05,-7.720497112583233e-05
-0.00021397135222935454,0.00021397135222935454
4.7882599215817915e-05,-4.7882599215817915e-05
8.540984334920241e-05,-8.540984334920241e-05
-0.00033999220673124346,0.00033999220673124346
-3.668887183157969e-05,3.668887183157969e-05
0.0002077329332541039,-0.0002077329332541039
-0.00015020862438842197,0.00015020862438842197
0.0002320007624702649,-0.0002320007624702649
-7.353751765635055e-05,7.353751765635055e-05
-0.00013561421926745558,0.00013561421926745558
0.000137506985757801,-0.000137506985757801
0.00014103690985001806,-0.00014103690985001806
0.00012734293149663706,-0.00012734293149663706
0.0001462211421551916,-0.0001462211421551916
0.00021087220289576336,-0.00021087220289576336
7.228041138871216e-05,-7.228041138871216e-05
0.0004535887298918016,-0.0004535887298918016
-0.00014595627692789458,0.00014595627692789458
0.00021181443502844166,-0.00021181443502844166
-0.0001896711893896295,0.0001896711893896295
0.00016144531853372427,-0.00016144531853372427
0.00027871323645162747,-0.00027871323645162747
-0.0003195618629934167,0.0003195618629934167
0.0002626113885949708,-0.0002626113885949708
-0.0003575116094075142,0.0003575116094075142
0.0001341338213398742,-0.0001341338213398742
-0.0005552154480842626,0.0005552154480842626
0.00028203501969855933,-0.00028203501969855933
0.00022218808511370678,-0.00022218808511370678
0.00012319693890311715,-0.00012319693890311715
0.0001140876208123765,-0.0001140876208123765
8.296729554300178e-05,-8.296729554300178e-05
0.00016385975410330403,-0.00016385975410330403
0.00026131426288312446,-0.00026131426288312446
